Index,RMS,dBFS,8Hz,12.5Hz,16Hz,20Hz,25Hz,31.5Hz,40Hz,50Hz,63Hz,80Hz,100Hz,125Hz,160Hz,200Hz,250Hz,315Hz,400Hz,500Hz,630Hz,800Hz,1000Hz,1250Hz,1600Hz,2000Hz,2500Hz,3150Hz,4000Hz,5000Hz,6300Hz,8000Hz,10000Hz,12500Hz,16000Hz,20000Hz
0.0,994.0,-30.36127101124809,5.561333979110424,6.20703502348453,6.20703502348453,6.20703502348453,6.265680486417034,6.265680486417034,5.938495369850199,4.706090473339327,5.410142252478697,4.999929877399769,5.078043403537948,4.950303235578829,4.204946188173053,4.625117398808392,4.444818333987909,4.170460920494598,4.10678712819543,3.444964125165787,3.9377933199834296,3.9184668911922995,3.783408019477791,3.422455450769271,3.679317886209639,3.6123360548850854,3.054582636915832,2.925150597309994,2.364633384523689,2.738260160294067,2.5947354902564754,2.438169954133587,2.389394179992348,2.3261041690218285,2.2265555436582276,2.2591149653989078
1.0,954.0,-30.718031205112453,5.711469781874328,5.84889692991508,5.84889692991508,5.84889692991508,6.380196639003367,6.380196639003367,5.569197880977709,5.2516406318705675,5.248518260362811,4.834604400594929,4.693340114488097,4.414489911318849,4.515616603356216,4.49129266270832,4.473895219223313,4.171130336269874,4.158116691715525,3.8225818618973104,3.7872214353619365,4.128148319001358,3.4426660051165308,3.9942360167700075,3.844809286556692,3.7166674837989024,3.602400171270825,3.3173886221177504,3.2141040359028046,3.1015403740873264,3.041925924302655,2.91171113563012,2.841831591126274,2.7582059846128106,2.6826226335076906,2.7172667606321683
2.0,858.0,-31.639252942220246,5.595192991669427,6.028397483882223,6.028397483882223,6.028397483882223,6.274450848592445,6.274450848592445,5.710845917393325,5.4957532434635485,5.332638213999351,5.197735804770195,5.076648586493731,5.037859304809253,4.92189397124108,4.905488517471618,4.6797168752727805,4.685886119835852,4.570868554836423,4.278236628523791,4.387936275635562,4.200510599555718,4.170673225252376,4.09864131114868,3.7894056418337856,3.895164317039123,3.7605617734731696,3.6116049044716028,3.544291765872073,3.4430517988751617,3.3164260520729165,3.2363426154801154,3.1501732965703506,3.069182283649178,2.995172323841903,2.977341460075596
3.0,678.0,-33.684404821853086,5.734712642019033,5.949265602234128,5.949265602234128,5.949265602234128,6.063321617859903,6.063321617859903,5.624810855858987,5.212342100574358,5.462643986187177,5.567506118206779,5.238622971875047,4.159445856985557,4.2553821647874965,3.869358185809863,4.089707925018616,3.5771179464946634,3.5462590548353856,3.650833476960081,3.406417790077938,3.0539938339187525,3.53535975449429,3.6237262953736704,3.864249156247502,2.619759329732666,2.7794635037716957,2.432447284525652,2.6710406227612604,2.2717838529642664,2.1573857985482574,2.1822070866452226,2.0911236214266435,2.098767809619714,2.191747025338638,2.510287073086764
4.0,692.0,-33.5068768100592,5.8010728890406495,5.97157776326555,5.97157776326555,5.97157776326555,5.598789834196981,5.598789834196981,5.960883378979877,5.989041446011528,5.362681229762999,4.724529762697556,5.068067421800826,4.780574743309915,4.115640324355814,4.464511426435206,4.330434985657527,4.180801152011935,3.9296279120113544,4.142153634627675,3.8275441068464926,3.6777703517144364,3.4858828985848063,3.8337576313185426,3.1211972343395997,3.661799913547447,3.088466034056459,2.9893542206615615,2.989147087859765,2.8760231245623586,2.7642175767216264,2.6767917179665526,2.5982199899534892,2.5302738928836606,2.506343810480831,2.609743741810244
5.0,773.0,-32.54540882082786,5.540863566256628,5.81665989064049,5.81665989064049,5.81665989064049,6.224284269682119,6.224284269682119,5.937393462048995,5.555057329765962,5.346544635233594,5.089852329105949,4.690411639275669,4.804738668633353,4.706869971381709,4.5976284947911275,4.497192851501766,4.369012329476868,4.26668179933775,4.318342326561178,4.06869264728842,3.9735585414854095,4.035004963715938,3.8623506398848693,3.7730581217688686,3.609879743951905,3.3152006858636445,3.3373057974196843,3.245446314942915,3.1377316814841865,3.063871679142437,2.972315999413431,2.8989785050291705,2.8313308603584835,2.7908242806671426,2.915290346849525
6.0,648.0,-34.077498581782486,5.065620789650137,5.512886762139232,5.512886762139232,5.512886762139232,6.234735713191867,6.234735713191867,4.616205321242249,4.5832653099449,4.729479399463903,4.610979689802883,4.14913884889663,3.629198336741143,3.266891033756304,4.020221574514685,3.578607989070696,3.845854958766764,3.579614083361496,3.171330526906572,3.58919488734399,3.0910264796310476,3.4454105961276924,3.351175913638559,3.1076206656223775,2.8579478551830717,2.4045657139739403,2.015494423177694,2.2443555661839114,1.3577537690560022,1.7629348458005223,1.378429990009363,1.494818694570585,1.5799285773643132,1.7454583095123155,1.9943857042489825
7.0,770.0,-32.579184195744716,5.620901903868528,5.877801462102739,5.877801462102739,5.877801462102739,6.277620388894152,6.277620388894152,5.434513147441488,5.1465908971971706,4.667165722555518,4.762526215230615,4.681590629725076,4.518632770351016,4.520392579931319,4.40648342997531,4.3482117096552315,4.197466648002811,3.9210426099442546,3.9582089662983346,3.9433706288910377,3.706278464615369,3.650448838895508,3.48351087432309,3.468291874994919,3.170606005752546,3.197043268335186,3.078359128997796,2.9734060535819067,2.901857155075472,2.7964924448480857,2.7181096131339983,2.6208234329069757,2.541544401141868,2.471215622099165,2.3983595527237718
8.0,584.0,-34.98074175694637,5.386006426494214,5.766625839761423,5.766625839761423,5.766625839761423,6.13399744811077,6.13399744811077,5.537517558585291,5.325522428204075,5.217907150172474,5.053376330401724,5.062986780723149,4.8373700054393405,4.745045010143909,4.647395031914836,4.546506541665227,4.453865889580675,4.318136065177623,4.289177487308116,4.149251850448762,4.055051125826562,3.9293127085037827,3.847395346241026,3.7299135088936834,3.6411663377945596,3.55150176415007,3.4404048738574255,3.349700898543053,3.2605179683853778,3.1539274251943064,3.0604526489483237,2.9728215430257907,2.8905676790246995,2.814063952633674,2.7906489652364317
9.0,429.0,-37.65985285549987,5.187726538923555,5.572149374857133,5.572149374857133,5.572149374857133,6.001808272803414,6.001808272803414,5.446174819105591,5.214724920321525,5.1044397865437015,5.038084422787342,4.848270777247279,4.853601420256938,4.687056068663352,4.5941659579224865,4.491588342280452,4.386951747471389,4.272598882304518,4.176027547005327,4.115039633223652,3.9526760978729585,3.8571640600664563,3.7951506696329917,3.696929859113949,3.6044396615309244,3.492169428603333,3.3931329807627,3.2997619103765166,3.2088542941287472,3.1027432694095376,2.999217145476263,2.9199969741166916,2.839752497085503,2.796949289010929,2.7377344288169776
10.0,440.0,-37.439945169470604,5.427516943558537,5.683187469671264,5.683187469671264,5.683187469671264,5.677830220969222,5.677830220969222,5.086724527386509,4.877422787038428,4.652945169086509,4.425629438770355,4.936935513080727,5.29724676921139,5.382128232496736,5.311725260995077,5.132930850179098,4.8245376720242135,3.874894470468818,4.159213347958106,4.166858481769011,4.0396609654275375,3.8931962267759186,3.8153638724374845,3.490302477784334,3.3490698400332857,3.3767537866095347,3.2878484799326233,3.28033332796783,3.0772124720090273,3.104924197210454,2.97219851895972,2.8744720939363,2.7853916296222607,2.6885244775268164,2.685348077585524
11.0,2848.0,-21.218198999897982,5.276399757672403,5.548509992925755,5.548509992925755,5.548509992925755,5.2380440498879475,5.2380440498879475,4.593599303741736,4.759856142512662,4.85150077596089,5.126538605030213,5.435711210086494,5.379262892217642,5.69106512175518,5.596360767478735,5.967412917723856,5.592165319812959,5.313504445372355,5.03118136944188,4.4482019789535645,4.802129300794704,4.992648440669287,4.363145841191308,3.8137043262102113,3.966615722153913,3.342085160427061,3.2688209828573527,3.0946143546786784,3.121713195668148,2.8544952917101716,2.557583091196938,2.2906398172536613,2.161108611957145,2.2816037362095853,2.450661885417702
